+,-  2007 12 03    12  14
-,+  2007 12 17    14   8
-,+  2008 01 12     7  19
+,-  2008 01 31    19   7
-,+  2008 02 07     7  21
+,-  2008 02 28    21   9
-,+  2008 03 08     9  18
+,-  2008 03 26    18   8
-,+  2008 04 03     8  19
+,-  2008 04 22    19   9
-,+  2008 05 01     9   9
+,-  2008 05 19     7   9
-,+  2008 05 28     9   9
+,-  2008 06 06     9   6
-,+  2008 06 25    11   9
+,-  2008 07 04     9  17
-,+  2008 07 21    17   9
+,-  2008 07 30     9   6
-,+  2008 08 17    11   7
+,-  2008 08 24     7  21
-,+  2008 09 14    21   6
+,-  2008 09 20     6  21
-,+  2008 10 11    21   7
+,-  2008 10 18     7  20
-,+  2008 11 07    20   7
+,-  2008 11 14     7   8
-,+  2008 12 04    10   7
+,-  2008 12 11     7   7
-,+  2008 12 18     7   4
+,-  2008 12 22     4   8
-,+  2008 12 30     8   9
+,-  2009 01 08     9   6
-,+  2009 01 24     8  10
+,-  2009 02 03    10   7
-,+  2009 02 10     7   4
+,-  2009 02 14     4   6
-,+  2009 02 20     6  18
+,-  2009 03 10    18   8
-,+  2009 03 18     8  16
-,+  2009 04 17    10  14
-,+  2009 05 14     8   4
+,-  2009 05 26     6   5
-,+  2009 06 10     7   5
+,-  2009 06 21     5  16
-,+  2009 07 13     4   7
+,-  2009 07 20     7  14
-,+  2009 08 11     6   6
+,-  2009 08 17     6  21
-,+  2009 10 24    13   8
+,-  2009 11 01     8  17
-,+  2009 11 24     4  11
+,-  2009 12 05    11  16
-,+  2009 12 21    16  16
+,-  2010 01 06    16   4
-,+  2010 01 18     7  13
+,-  2010 01 31    13  16
-,+  2010 02 16    16  13
+,-  2010 03 01    13  14
-,+  2010 03 15    14  14
+,-  2010 03 29    14  15
-,+  2010 04 13    15   6
+,-  2010 04 28     6  13
-,+  2010 05 11    13   6
+,-  2010 05 26     7  12
-,+  2010 06 07    12   6
+,-  2010 06 25     9  14
-,+  2010 08 09    17   4
+,-  2010 08 20     5  17
-,+  2010 11 08     4   4
+,-  2010 11 12     4  17
-,+  2010 11 29    17   8
-,+  2010 12 24    14   9
-,+  2011 01 18    12   6
+,-  2011 01 24     6   6
-,+  2011 02 15    14   5
+,-  2011 02 20     5   4
-,+  2011 03 12    13   8
+,-  2011 04 02    10   9
-,+  2011 04 11     9   5
+,-  2011 04 29    12  11
-,+  2011 05 10    11  16
+,-  2011 05 26    16  17
-,+  2011 06 12    17  10
+,-  2011 06 22    10  17
-,+  2011 07 09    17   9
+,-  2011 07 18     9  19
-,+  2011 08 06    19   8
+,-  2011 08 14     8  20
-,+  2011 09 03    20   6
+,-  2011 09 09     6   9
-,+  2011 09 27     8  10
-,+  2011 10 30    20   7
+,-  2011 11 06     7  21
-,+  2011 11 30    21   8
+,-  2011 12 08     8  10
+,-  2012 01 06     5   7
-,+  2012 01 25    10   8
+,-  2012 02 02     8  20
-,+  2012 02 22    20   8
+,-  2012 03 01     8   6
-,+  2012 03 07     6   6
+,-  2012 03 13     6  10
-,+  2012 03 23    10   4
+,-  2012 03 27     4   9
-,+  2012 04 05     9   4
+,-  2012 04 09     4  11
-,+  2012 05 03    10   5
+,-  2012 05 08     5  10
-,+  2012 05 29     8   4
+,-  2012 06 02     4  10
-,+  2012 06 12    10   6
+,-  2012 06 18     6   6
-,+  2012 06 24     6   6
+,-  2012 06 30     6   7
-,+  2012 07 23     9   6
+,-  2012 07 29     6   8
-,+  2012 08 06     8   6
+,-  2012 08 12     6   7
-,+  2012 08 19     7   5
+,-  2012 08 24     5   8
-,+  2012 09 01     8   4
-,+  2012 10 13     5   4
+,-  2012 10 17     4   6
-,+  2012 10 23     6   7
+,-  2012 10 30     7   5
-,+  2012 11 17    10   7
+,-  2012 11 24     7  15
+,-  2012 12 23    10  11
-,+  2013 01 11     5   6
-,+  2013 02 06    12   6
+,-  2013 02 20     7  13
-,+  2013 03 05    13  12
+,-  2013 03 17    12   7
-,+  2013 04 08    12   7
+,-  2013 04 24     7  11
-,+  2013 05 05    11   9
-,+  2013 06 01    14   8
+,-  2013 06 15     5  14
-,+  2013 06 29    14   7
-,+  2013 07 26     9   7
+,-  2013 08 09     5   4
-,+  2013 08 21     7   7
-,+  2013 09 18     8   6
+,-  2013 09 30     4   6
-,+  2013 10 06     6   6
+,-  2013 10 21     6  13
-,+  2013 11 03    13   4
+,-  2013 11 14     4  13
-,+  2013 11 27    13  16
+,-  2013 12 13    16  10
-,+  2013 12 23    10  18
+,-  2014 01 10    18   9
-,+  2014 01 19     9  13
+,-  2014 02 08     4   6
+,-  2014 02 28     5   4
-,+  2014 03 04     4   6
+,-  2014 03 18     5   4
-,+  2014 03 31     6   6
-,+  2014 04 29     9   4
-,+  2014 05 14     6   8
+,-  2014 05 22     8   6
-,+  2014 05 28     6   6
+,-  2014 06 03     6   7
-,+  2014 06 10     7   6
+,-  2014 06 16     6   9
-,+  2014 06 25     9   8
+,-  2014 07 03     8   5
-,+  2014 07 08     5   6
+,-  2014 07 14     6  10
-,+  2014 07 24    10   4
+,-  2014 07 28     4   4
-,+  2014 08 01     4   9
+,-  2014 08 10     9   5
-,+  2014 08 15     5   9
+,-  2014 08 24     9   4
-,+  2014 08 28     4   9
+,-  2014 09 06     9   5
-,+  2014 09 22     9  13
-,+  2014 10 19     8  11
+,-  2014 10 30    11  15
-,+  2014 11 14    15  13
+,-  2014 11 27    13  15
-,+  2014 12 12    15  11
+,-  2014 12 23    11  15
-,+  2015 01 07    15  14
+,-  2015 01 21    14  16
-,+  2015 02 06    16   9
+,-  2015 02 15     9   9
-,+  2015 03 05     6  10
+,-  2015 03 15    10   8
-,+  2015 03 23     8   4
+,-  2015 03 27     4   5
-,+  2015 04 01     5   9
+,-  2015 04 10     9  12
-,+  2015 04 22    12   5
-,+  2015 05 17     6   6
+,-  2015 05 23     6   5
-,+  2015 05 28     5  10
+,-  2015 06 07    10   5
-,+  2015 06 12     5  12
+,-  2015 07 04     6   7
-,+  2015 07 11     7  19
+,-  2015 07 30    19   7
-,+  2015 08 06     7  21
+,-  2015 08 27    21   7
-,+  2015 09 03     7   5
+,-  2015 09 22    12  10
-,+  2015 10 02    10  13
-,+  2015 10 23     4   5
+,-  2015 10 28     5   6
-,+  2015 11 03     6  15
+,-  2015 11 18    15  12
-,+  2015 11 30    12  14
+,-  2015 12 14    14  14
-,+  2015 12 28    14   4
+,-  2016 01 11     8   6
-,+  2016 01 28     9  10
+,-  2016 02 07    10   6
-,+  2016 02 26    11   9
+,-  2016 03 06     9   6
-,+  2016 03 22     7  11
+,-  2016 04 02    11   6
-,+  2016 04 08     6   4
+,-  2016 04 12     4   6
-,+  2016 04 18     6  12
+,-  2016 04 30    12  15
-,+  2016 05 15    15  12
+,-  2016 05 27    12  15
-,+  2016 06 11    15  11
+,-  2016 06 22    11   9
-,+  2016 07 07     4  13
+,-  2016 07 20    13  14
-,+  2016 08 03    14  14
+,-  2016 08 17    14   6
-,+  2016 08 30     4  17
+,-  2016 09 16    17  10
-,+  2016 09 26    10  14
+,-  2016 10 10    14  13
-,+  2016 10 23    13   9
+,-  2016 11 10     8  10
-,+  2016 11 20    10  15
+,-  2016 12 05    15  12
-,+  2016 12 17    12  15
+,-  2017 01 01    15  14
-,+  2017 01 15    14  15
+,-  2017 01 30    15  15
-,+  2017 02 14    15  13
+,-  2017 02 27    13  16
-,+  2017 03 15    16  13
+,-  2017 03 28    13   7
-,+  2017 04 17    12   4
+,-  2017 04 21     4  10
-,+  2017 05 28    10   4
-,+  2017 06 12     5   4
+,-  2017 06 16     4   7
-,+  2017 06 23     7  10
+,-  2017 07 03    10   6
-,+  2017 07 09     6   7
+,-  2017 07 16     7   4
-,+  2017 07 20     4  12
+,-  2017 08 11     7   5
-,+  2017 08 16     5   5
+,-  2017 09 07    14   5
+,-  2017 10 03     6   8
-,+  2017 10 11     8  10
+,-  2017 10 21    10   4
-,+  2017 10 25     4   6
+,-  2017 10 31     6   7
-,+  2017 11 07     7  12
+,-  2017 11 26     6   9
-,+  2017 12 05     9  18
+,-  2017 12 23    18   9
-,+  2018 01 01     9   4
+,-  2018 01 19     6  10
-,+  2018 02 04     4   9
+,-  2018 02 13     9  20
-,+  2018 03 05    20   8
+,-  2018 03 13     8  16
-,+  2018 03 29    16  11
+,-  2018 04 09    11  17
-,+  2018 04 26    17   9
+,-  2018 05 05     9  18
-,+  2018 05 23    18   8
+,-  2018 05 31     8  18
-,+  2018 06 18    18   7
+,-  2018 06 25     7   8
+,-  2018 07 24    18   8
-,+  2018 08 01     8   4
+,-  2018 08 19     6   7
-,+  2018 08 26     7   4
-,+  2018 09 10     4   7
+,-  2018 09 17     7   8
-,+  2018 09 25     8   8
+,-  2018 10 03     8   4
-,+  2018 10 07     4   6
+,-  2018 10 13     6   9
-,+  2018 11 05    11   4
+,-  2018 11 09     4  21
-,+  2018 12 02    21   5
+,-  2018 12 07     5  21
-,+  2018 12 28    21   7
+,-  2019 01 04     7  19
-,+  2019 01 23    19   8
+,-  2019 01 31     8  21
-,+  2019 02 21    21   6
+,-  2019 02 27     6  19
-,+  2019 03 18    19   7
+,-  2019 03 25     7  21
-,+  2019 04 19    21   5
+,-  2019 04 24     5  21
-,+  2019 05 16    21   6
+,-  2019 05 22     6  21
-,+  2019 06 13    21   6
-,+  2019 07 10     6   8
+,-  2019 07 18     8  10
-,+  2019 08 04     5  14
+,-  2019 08 18    14   4
-,+  2019 08 31     6  16
+,-  2019 09 23     5   5
-,+  2019 09 28     5  10
-,+  2019 10 25     6   5
+,-  2019 10 30     5   5
-,+  2019 11 04     5   5
+,-  2019 11 09     5   5
-,+  2019 11 19     4   7
+,-  2019 11 26     7   5
-,+  2019 12 18    15   7
+,-  2019 12 25     7  20
-,+  2020 01 14    20   5
+,-  2020 01 19     5  21
-,+  2020 02 11    21   4
+,-  2020 02 15     4  21
-,+  2020 05 15     4   4
+,-  2020 05 19     4   9
-,+  2020 06 08     9  12
+,-  2020 06 20    12   4
-,+  2020 07 03     7  20
+,-  2020 07 23    20   8
-,+  2020 07 31     8  14
+,-  2020 08 21     6   5
-,+  2020 08 26     5  14
+,-  2020 10 06    14  13
+,-  2020 11 05     5  12
-,+  2020 11 17    12  12
+,-  2020 11 29    12   7
-,+  2020 12 16     8  11
+,-  2020 12 27    11   8
